status,length,company,question
Successful,16,lollipuff,"If you have a demo, what's the url? Demo can be anything that shows us how the product works. Usually that's a video or screen recording."
Successful,58,lollipuff,What is your company going to make? Please describe your product and what it does or will do.
Successful,22,lollipuff,"Where do you live now, and where would the company be based after YC?"
Successful,0,lollipuff,Please enter the url of a 1 minute unlisted (not private) YouTube video introducing the founder(s). This video is an important part of the application. (Follow the Video Guidelines.)
Successful,53,lollipuff,"Please tell us about an interesting project, preferably outside of class or work, that two or more of you created together. Include urls if possible."
Successful,164,lollipuff,Please tell us in one or two sentences about something impressive that each founder has built or achieved.
Successful,99,lollipuff,Please tell us about the time you most successfully hacked some (non-computer) system to your advantage.
Successful,65,lollipuff,How long have the founders known one another and how did you meet? Have any of the founders not met in person?
Successful,3,lollipuff,"If we fund you, which of the founders will commit to working exclusively (no school, no other jobs) on this project for the next year?"
Successful,1,lollipuff,"For founders who can’t, why not? What level of commitment are they willing to make?"
Successful,37,lollipuff,Do any founders have other commitments between X and Y inclusive?
Successful,1,lollipuff,"Do any founders have commitments in the future (e.g. finishing college, going to grad school), and if so what?"
Successful,1,lollipuff,Is this application in response to a YC RFS?
Successful,53,lollipuff,How far along are you?
Successful,54,lollipuff,How long have each of you been working on this? How much of that has been full-time? Please explain.
Successful,111,lollipuff,Why did you pick this idea to work on? Do you have domain expertise in this area? How do you know people need what you're making?
Successful,75,lollipuff,What's new about what you're making? What substitutes do people resort to because it doesn't exist yet (or they don't know about it)?
Successful,45,lollipuff,"Who are your competitors, and who might become competitors? Who do you fear most?"
Successful,136,lollipuff,What do you understand about your business that other companies in it just don't get?
Successful,100,lollipuff,How do or will you make money? How much could you make?
Successful,110,lollipuff,"How will you get users? If your idea is the type that faces a chicken-and-egg problem in the sense that it won't be attractive to users till it has a lot of users (e.g. a marketplace, a dating site, an ad network), how will you overcome that?"
Successful,7,lollipuff,What kind of entity and in what state or country was the entity formed?
Successful,105,lollipuff,"Are any of the founders covered by noncompetes or intellectual property agreements that overlap with your project? If so, please explain."
